dataset,task_id,method,seed,answer,cost_usd,latency_s,prompt_tokens,completion_tokens,agent_used,reason,error
hellaswag,hellaswag-9949,TrustRoute-MaxConf,1,B,0.00247585,18.817537307739258,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-4195,TrustRoute-MaxConf,1,C,0.00174865,19.6077983379364,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-4101,TrustRoute-MaxConf,1,A,0.0017170500000000001,315.9468376636505,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-3818,TrustRoute-MaxConf,1,B,0.0013548499999999999,14.51605749130249,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-2894,TrustRoute-MaxConf,1,A,0.00091545,14.963980436325073,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-3769,TrustRoute-MaxConf,1,D,0.0015432500000000001,17.23278522491455,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-5465,TrustRoute-MaxConf,1,D,0.0012420500000000002,12.169679164886475,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-7512,TrustRoute-MaxConf,1,A,0.0019358500000000002,26.810684204101562,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-3926,TrustRoute-MaxConf,1,A,0.00151795,19.767966985702515,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-1890,TrustRoute-MaxConf,1,B,0.00127195,19.223846435546875,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-3936,TrustRoute-MaxConf,1,B,0.00104995,17.70497989654541,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-3210,TrustRoute-MaxConf,1,A,0.0009848500000000002,12.805138349533081,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-5261,TrustRoute-MaxConf,1,C,0.0012021500000000001,18.74470853805542,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-5234,TrustRoute-MaxConf,1,D,0.00150475,24.356482982635498,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-2813,TrustRoute-MaxConf,1,C,0.00098845,15.17542314529419,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-9555,TrustRoute-MaxConf,1,C,0.00184085,31.52860450744629,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-477,TrustRoute-MaxConf,1,B,0.00064035,13.800175666809082,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-4954,TrustRoute-MaxConf,1,D,0.0026705500000000003,36.28433418273926,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-12,TrustRoute-MaxConf,1,C,0.0007765500000000001,21.942406177520752,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-5637,TrustRoute-MaxConf,1,D,0.00182955,29.420972108840942,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-7815,TrustRoute-MaxConf,1,D,0.00159035,29.223968982696533,0,0,cand-grok-3-mini,stage2_max_conf,
hellaswag,hellaswag-4576,TrustRoute-MaxConf,1,A,0.00200335,26.206120252609253,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-5366,TrustRoute-MaxConf,1,C,0.00207625,15.075353860855103,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-1183,TrustRoute-MaxConf,1,C,0.00463525,19.255026817321777,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-1589,TrustRoute-MaxConf,1,B,0.0007250500000000001,14.777680397033691,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-5389,TrustRoute-MaxConf,1,C,0.00149205,15.237673997879028,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-2484,TrustRoute-MaxConf,1,B,0.0009761500000000001,14.90398120880127,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-6835,TrustRoute-MaxConf,1,D,0.00220985,20.54520606994629,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-3043,TrustRoute-MaxConf,1,A,0.0022196,17.574103832244873,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-453,TrustRoute-MaxConf,1,B,0.00065435,12.057524919509888,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-7094,TrustRoute-MaxConf,1,A,0.00134935,13.035351037979126,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-8913,TrustRoute-MaxConf,1,D,0.00155335,17.259860277175903,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-9694,TrustRoute-MaxConf,1,A,0.0029004499999999997,21.78238558769226,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-7943,TrustRoute-MaxConf,1,A,0.00180865,18.723225593566895,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-1672,TrustRoute-MaxConf,1,C,0.0011135,10.499896049499512,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-3030,TrustRoute-MaxConf,1,C,0.00176125,10.494043350219727,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-6609,TrustRoute-MaxConf,1,C,0.00146215,15.404229879379272,0,0,cand-gpt-4o-mini,stage2_max_conf,
hellaswag,hellaswag-4430,TrustRoute-MaxConf,1,A,0.0018047500000000001,20.63039493560791,0,0,cand-gpt-4o-mini,stage2_max_conf,
