dataset,task_id,method,seed,answer,cost_usd,latency_s,prompt_tokens,completion_tokens,agent_used,reason,error
mmlu,mmlu-8414,TrustRoute-MaxConf,3,A,0.00042225,9.107646703720093,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-10986,TrustRoute-MaxConf,3,C,0.00204585,16.267852067947388,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-5418,TrustRoute-MaxConf,3,C,0.00057325,8.13125205039978,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-5778,TrustRoute-MaxConf,3,C,0.0008100500000000001,9.960195779800415,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-7658,TrustRoute-MaxConf,3,C,0.00025765,7.386101722717285,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-5945,TrustRoute-MaxConf,3,C,0.00181305,12.913666725158691,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-8963,TrustRoute-MaxConf,3,B,0.00062425,8.630490064620972,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-9206,TrustRoute-MaxConf,3,A,0.0006953500000000001,10.101929903030396,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-3277,TrustRoute-MaxConf,3,C,0.00043445,9.604068517684937,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-8696,TrustRoute-MaxConf,3,B,0.00122195,14.988332033157349,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-7089,TrustRoute-MaxConf,3,B,0.00038975,10.659607172012329,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-2418,TrustRoute-MaxConf,3,C,0.00030125,8.490620613098145,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-12740,TrustRoute-MaxConf,3,C,0.00048145,9.959785223007202,0,0,cand-gpt-4o-mini,stage2_max_conf,
mmlu,mmlu-11090,TrustRoute-MaxConf,3,B,6.81e-05,1.8971879482269287,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-9960,TrustRoute-MaxConf,3,B,1.9049999999999995e-05,1.6533644199371338,0,0,cand-gpt-4o-mini,stage1_early_stop,
