dataset,task_id,method,seed,answer,cost_usd,latency_s,prompt_tokens,completion_tokens,agent_used,reason,error
winogrande,winogrande-683,TrustRoute-MaxConf,2,A,0.00037204999999999996,7.859898090362549,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-752,TrustRoute-MaxConf,2,A,0.0005258499999999999,13.210206985473633,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1028,TrustRoute-MaxConf,2,B,0.00045785,9.737173318862915,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1153,TrustRoute-MaxConf,2,A,0.00036284999999999996,6.226196527481079,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-376,TrustRoute-MaxConf,2,B,0.00042065,9.879205465316772,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-900,TrustRoute-MaxConf,2,B,0.00044305,9.233714818954468,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-943,TrustRoute-MaxConf,2,B,0.00076755,11.153034448623657,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-253,TrustRoute-MaxConf,2,A,0.00082005,14.603832006454468,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1172,TrustRoute-MaxConf,2,B,0.00049265,6.470447540283203,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1040,TrustRoute-MaxConf,2,B,0.00051245,10.84366512298584,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-122,TrustRoute-MaxConf,2,A,0.00039735,7.048677206039429,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-951,TrustRoute-MaxConf,2,A,0.0018494499999999999,17.864954948425293,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-599,TrustRoute-MaxConf,2,A,0.0006072500000000002,11.270089149475098,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1147,TrustRoute-MaxConf,2,B,0.00038294999999999996,6.982930421829224,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-310,TrustRoute-MaxConf,2,B,0.00055675,11.96690320968628,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1016,TrustRoute-MaxConf,2,A,0.0009713500000000001,11.842428207397461,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-866,TrustRoute-MaxConf,2,B,0.00128985,13.644703388214111,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-334,TrustRoute-MaxConf,2,B,0.00066655,8.565691947937012,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1001,TrustRoute-MaxConf,2,B,0.0005257500000000001,8.390521049499512,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-67,TrustRoute-MaxConf,2,B,0.00095045,9.491000890731812,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-578,TrustRoute-MaxConf,2,B,0.0006951500000000001,8.648953199386597,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1119,TrustRoute-MaxConf,2,B,0.00046755000000000006,7.308826684951782,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-272,TrustRoute-MaxConf,2,A,0.00151315,13.098791360855103,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1259,TrustRoute-MaxConf,2,B,0.00053955,11.643673419952393,0,0,cand-gpt-4o-mini,stage2_max_conf,
winogrande,winogrande-1125,TrustRoute-MaxConf,2,B,1.605e-05,1.4433114528656006,0,0,cand-gpt-4o-mini,stage1_early_stop,
