dataset,task_id,method,seed,answer,cost_usd,latency_s,prompt_tokens,completion_tokens,agent_used,reason,error
winogrande,winogrande-683,TrustRoute-StrongestFallback,2,A,0.0004431,7.19972562789917,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-752,TrustRoute-StrongestFallback,2,B,0.00042435,7.998300313949585,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-1028,TrustRoute-StrongestFallback,2,B,0.00039779999999999997,4.176969528198242,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-1153,TrustRoute-StrongestFallback,2,A,0.0004146,4.230893135070801,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-376,TrustRoute-StrongestFallback,2,B,0.00040545,6.2313597202301025,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-900,TrustRoute-StrongestFallback,2,A,0.000396,3.8224005699157715,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-943,TrustRoute-StrongestFallback,2,B,0.00037575,3.9967918395996094,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-253,TrustRoute-StrongestFallback,2,B,0.00041175,3.9562954902648926,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-1172,TrustRoute-StrongestFallback,2,B,0.0004302,4.587969541549683,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-1040,TrustRoute-StrongestFallback,2,B,0.00043679999999999994,3.793989658355713,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-122,TrustRoute-StrongestFallback,2,B,0.0004008,4.125065803527832,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-951,TrustRoute-StrongestFallback,2,A,0.0004053,4.651960849761963,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-599,TrustRoute-StrongestFallback,2,B,0.00042090000000000004,5.096472501754761,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-1147,TrustRoute-StrongestFallback,2,B,0.0004083,4.78487753868103,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-310,TrustRoute-StrongestFallback,2,B,0.0004299,5.4229514598846436,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-1016,TrustRoute-StrongestFallback,2,A,0.00036045,3.8321878910064697,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-866,TrustRoute-StrongestFallback,2,B,0.00040245,4.473222017288208,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-334,TrustRoute-StrongestFallback,2,B,0.0003942,4.391385555267334,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
winogrande,winogrande-1001,TrustRoute-StrongestFallback,2,B,0.00041415,4.43238091468811,0,0,cand-claude-sonnet-4-5,stage2_direct_fallback,
