dataset,task_id,method,seed,answer,cost_usd,latency_s,prompt_tokens,completion_tokens,agent_used,reason,error
hellaswag,hellaswag-9949,TrustRoute-StrongestQueried,1,B,0.0021413499999999998,21.65936541557312,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-4195,TrustRoute-StrongestQueried,1,C,0.00227215,25.076395511627197,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-4101,TrustRoute-StrongestQueried,1,C,0.00155155,17.79411506652832,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-3818,TrustRoute-StrongestQueried,1,D,0.00144585,25.329874515533447,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-2894,TrustRoute-StrongestQueried,1,A,0.0010784500000000001,21.772533178329468,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-3769,TrustRoute-StrongestQueried,1,D,0.00146275,19.971152782440186,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-5465,TrustRoute-StrongestQueried,1,D,0.00125555,19.985744953155518,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-7512,TrustRoute-StrongestQueried,1,A,0.00177135,24.707621335983276,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-3926,TrustRoute-StrongestQueried,1,B,0.0013449500000000001,19.797980546951294,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-1890,TrustRoute-StrongestQueried,1,B,0.00140045,30.459064245224,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-3936,TrustRoute-StrongestQueried,1,B,0.0013199499999999999,13.285490989685059,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-3210,TrustRoute-StrongestQueried,1,D,0.00107135,17.096537351608276,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-5261,TrustRoute-StrongestQueried,1,C,0.00119965,19.549341917037964,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-5234,TrustRoute-StrongestQueried,1,B,0.00137475,24.144213676452637,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-2813,TrustRoute-StrongestQueried,1,A,0.0015644500000000002,22.230388164520264,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-9555,TrustRoute-StrongestQueried,1,C,0.00145885,27.522155284881592,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-477,TrustRoute-StrongestQueried,1,B,0.00106435,15.665485858917236,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-4954,TrustRoute-StrongestQueried,1,A,0.00284955,36.52933382987976,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-12,TrustRoute-StrongestQueried,1,C,0.0007815500000000001,18.816009044647217,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-5637,TrustRoute-StrongestQueried,1,C,0.00222505,37.91936802864075,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-7815,TrustRoute-StrongestQueried,1,C,0.00199085,30.9408061504364,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-4576,TrustRoute-StrongestQueried,1,B,0.0023003499999999996,38.01367783546448,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-5366,TrustRoute-StrongestQueried,1,C,0.0012029500000000002,18.830914735794067,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-1183,TrustRoute-StrongestQueried,1,B,0.00116085,21.473512887954712,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-1589,TrustRoute-StrongestQueried,1,B,0.0006565499999999999,17.278260231018066,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-5389,TrustRoute-StrongestQueried,1,C,0.0014390499999999999,21.763715744018555,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-2484,TrustRoute-StrongestQueried,1,C,0.00112765,23.424617290496826,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-6835,TrustRoute-StrongestQueried,1,A,0.0014077500000000001,25.53238010406494,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-3043,TrustRoute-StrongestQueried,1,C,0.00130715,28.206807136535645,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-453,TrustRoute-StrongestQueried,1,B,0.00083485,13.98268461227417,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-7094,TrustRoute-StrongestQueried,1,A,0.00160035,17.469446897506714,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-8913,TrustRoute-StrongestQueried,1,D,0.00141585,22.243605375289917,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-9694,TrustRoute-StrongestQueried,1,D,0.00185995,31.56141209602356,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-7943,TrustRoute-StrongestQueried,1,C,0.00207325,29.399304151535034,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-1672,TrustRoute-StrongestQueried,1,C,0.00081145,16.618430137634277,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-3030,TrustRoute-StrongestQueried,1,D,0.00105495,15.960126638412476,0,0,cand-gpt-5-mini,stage2_strongest_queried,
hellaswag,hellaswag-6609,TrustRoute-StrongestQueried,1,C,0.00221135,15.02815294265747,0,0,cand-gemini-2.5-flash,stage2_strongest_queried,
hellaswag,hellaswag-4430,TrustRoute-StrongestQueried,1,D,0.0023871,21.476804971694946,0,0,cand-gemini-2.5-flash,stage2_strongest_queried,
